"Product title","Net sales","Quantity ordered"
"Spiderman x Nike Air Force 1",10124.01,86
"Nike Air force 1 x Dragon Ball z Manga",9617.8,67
"Spain National F.C. x Nike Air Force 1",9111.6,65
"Nike Air Force 1 x Liquid Golden Drip",8605.4,79
"Nike Air Force 1 x Moo Swoosh",8099.2,74
"Sakura Dream x Nike Air Force 1",7593,61
"Rambo (Customisable with any name) x Nike Air Force 1",7086.8,56
"Green Comic x Nike Air Force 1",6580.6,56
"Spiderman x Nike Air Force 1",6074.4,49
"Coffee Dip x Nike Air Force 1",5568.2,51
"Ferrari F1 x Nike Air Force 1",5062,44
"Nike Air Force 1 x Grand Theft Auto GTA",4555.8,27
"Nike Air Force 1 x Pet",4049.6,28
"Red Camo x Nike Air Force 1",3543.4,30
"McLaren F1 x Nike Air Force 1",3037.2,25
