"Month","Average order value","Orders","Total sales"
"2024-08-01",153.18,91,13939.41
"2024-09-01",148.95,95,14150
"2024-10-01",158.07,106,16755.68
"2024-11-01",144.16,176,25371.36
"2024-12-01",158.99,209,33228.23
"2025-01-01",150.14,183,27474.77
"2025-02-01",167.16,190,31759.88
"2025-03-01",147.37,192,28295.3
"2025-04-01",163.27,199,32490.46
"2025-05-01",170.3,202,34400.24
"2025-06-01",150.16,172,25826.75
"2025-07-01",144.16,166,23929.99
"2025-08-01",151.51,166,25151.36
"2025-09-01",145.15,147,21336.63
"2025-10-01",143.84,185,26609.94
"2025-11-01",168.87,277,46775.72
"2025-12-01",163.6,334,54642.78
"2026-01-01",166.97,288,48088.5
"2026-02-01",152,342,51984.81
"2026-03-01",160.24,357,57204.9
"2026-04-01",159.9,363,58042.63
"2026-05-01",159.17,343,54595.54
"2026-06-01",164.01,297,48709.49
"2026-07-01",152.52,277,42248.23
