"Month","New customers","Orders (first-time)","Total sales (first-time)"
"2024-08-01",56,56,8578.08
"2024-09-01",59,59,8788.05
"2024-10-01",66,66,10432.62
"2024-11-01",109,109,15713.44
"2024-12-01",130,130,20668.7
"2025-01-01",113,113,16965.82
"2025-02-01",118,118,19724.88
"2025-03-01",119,119,17537.03
"2025-04-01",123,123,20082.21
"2025-05-01",125,125,21287.5
"2025-06-01",107,107,16067.12
"2025-07-01",103,103,14848.48
"2025-08-01",103,103,15605.53
"2025-09-01",91,91,13208.65
"2025-10-01",115,115,16541.6
"2025-11-01",172,172,29045.64
"2025-12-01",207,207,33865.2
"2026-01-01",179,179,29887.63
"2026-02-01",212,212,32224
"2026-03-01",221,221,35413.04
"2026-04-01",225,225,35977.5
"2026-05-01",213,213,33903.21
"2026-06-01",184,184,30177.84
"2026-07-01",172,172,26233.44
