"Customer cohort quarter","Quarters since first purchase","Customers","Orders","Net sales"
"2025-07-01",0,245,245,39046.66
"2025-07-01",1,39,49,8268.12
"2025-07-01",2,32,40,5837.39
"2025-07-01",3,26,33,4865.8
"2025-07-01",4,22,28,4415.52
"2025-07-01",5,18,23,3383.33
"2025-07-01",6,15,19,2919.89
"2025-07-01",7,12,15,2309.97
"2025-10-01",0,222,222,35028.78
"2025-10-01",1,36,45,7435.63
"2025-10-01",2,29,36,5787.7
"2025-10-01",3,24,30,4880.83
"2025-10-01",4,20,25,4018.96
"2025-10-01",5,16,20,3128.87
"2025-10-01",6,13,16,2330.76
"2026-01-01",0,289,289,42448.05
"2026-01-01",1,46,58,8399.29
"2026-01-01",2,38,48,7676.8
"2026-01-01",3,31,39,6401.69
"2026-01-01",4,25,31,4998.08
"2026-01-01",5,21,26,4312.75
"2026-04-01",0,318,318,52549.91
"2026-04-01",1,51,64,9371.78
"2026-04-01",2,42,53,7702.73
"2026-04-01",3,34,43,6663.22
"2026-04-01",4,28,35,5535.37
"2026-07-01",0,328,328,47789.26
"2026-07-01",1,52,65,9797.58
"2026-07-01",2,43,54,7982.85
"2026-07-01",3,35,44,6862.39
"2026-10-01",0,472,472,77348.67
"2026-10-01",1,76,95,15021.16
"2026-10-01",2,62,78,12847.93
"2027-01-01",0,535,535,87181.16
"2027-01-01",1,86,108,16639.71
"2027-04-01",0,504,504,82601.16
