"Month","Orders","Total sales","Average order value"
"2024-08-01",91,13939.41,153.18
"2024-09-01",95,14150,148.95
"2024-10-01",106,16755.68,158.07
"2024-11-01",176,25371.36,144.16
"2024-12-01",209,33228.23,158.99
"2025-01-01",183,27474.77,150.14
"2025-02-01",190,31759.88,167.16
"2025-03-01",192,28295.3,147.37
"2025-04-01",199,32490.46,163.27
"2025-05-01",202,34400.24,170.3
"2025-06-01",172,25826.75,150.16
"2025-07-01",166,23929.99,144.16
"2025-08-01",166,25151.36,151.51
"2025-09-01",147,21336.63,145.15
"2025-10-01",185,26609.94,143.84
"2025-11-01",277,46775.72,168.87
"2025-12-01",334,54642.78,163.6
"2026-01-01",288,48088.5,166.97
"2026-02-01",342,51984.81,152
"2026-03-01",357,57204.9,160.24
"2026-04-01",363,58042.63,159.9
"2026-05-01",343,54595.54,159.17
"2026-06-01",297,48709.49,164.01
"2026-07-01",277,42248.23,152.52
