"Month","New customers","Returning customers","Orders (first-time)","Orders (returning)"
"2024-08-01",56,22,56,35
"2024-09-01",59,23,59,36
"2024-10-01",66,25,66,40
"2024-11-01",109,42,109,67
"2024-12-01",130,50,130,79
"2025-01-01",113,44,113,70
"2025-02-01",118,46,118,72
"2025-03-01",119,46,119,73
"2025-04-01",123,48,123,76
"2025-05-01",125,48,125,77
"2025-06-01",107,41,107,65
"2025-07-01",103,40,103,63
"2025-08-01",103,40,103,63
"2025-09-01",91,35,91,56
"2025-10-01",115,44,115,70
"2025-11-01",172,66,172,105
"2025-12-01",207,80,207,127
"2026-01-01",179,69,179,109
"2026-02-01",212,82,212,130
"2026-03-01",221,86,221,136
"2026-04-01",225,87,225,138
"2026-05-01",213,82,213,130
"2026-06-01",184,71,184,113
"2026-07-01",172,66,172,105
