"Month","Returning customer rate","Returning customers","New customers"
"2024-08-01",0.28,22,56
"2024-09-01",0.28,23,59
"2024-10-01",0.27,25,66
"2024-11-01",0.28,42,109
"2024-12-01",0.28,50,130
"2025-01-01",0.28,44,113
"2025-02-01",0.28,46,118
"2025-03-01",0.28,46,119
"2025-04-01",0.28,48,123
"2025-05-01",0.28,48,125
"2025-06-01",0.28,41,107
"2025-07-01",0.28,40,103
"2025-08-01",0.28,40,103
"2025-09-01",0.28,35,91
"2025-10-01",0.28,44,115
"2025-11-01",0.28,66,172
"2025-12-01",0.28,80,207
"2026-01-01",0.28,69,179
"2026-02-01",0.28,82,212
"2026-03-01",0.28,86,221
"2026-04-01",0.28,87,225
"2026-05-01",0.28,82,213
"2026-06-01",0.28,71,184
"2026-07-01",0.28,66,172
