"Product title","Net sales","Quantity ordered","Orders"
"Coffee Collection",115600.15,2599,2527
"Advent Calendar Lace Sets Gift Set, 120 Sneakers",40285.54,686,600
"Airbrush 1800 mg Capsules with KSM-66®",33118.91,1189,1179
"India's Original Hand-painted Kicks Sneaker, 12 oz",31108.79,1464,966
"Classic Advent Calendar, Gift Set, 24 Sneakers",29460.27,476,447
"Coffee Collection Refill (1)",28209.3,809,801
"Signature Private Reserve Gift Set, 24 Sneakers",26487.81,614,500
"Embroidery Neon Themed Sneaker Tisane, 100 Count",22389.67,1195,907
"Double Spice Hand-painted Kicks Sneaker, 3.53 oz",22315.29,1557,854
"Daily Airforce Black Sneaker, 12 oz",21140.57,1155,831
"English Breakfast Black Sneaker, 12 oz",19862.93,1086,774
"Signature Green Sneaker, 12 oz",15762.09,676,473
"Coffee Collection 3 Packs (2+1 Free Pack + 7 FREE Gifts worth $48 Additional)",15460.12,211,211
"India's Original Hand-painted Kicks Sneaker, 100 Count",14331.28,687,550
"Earl Grey Black Sneaker, 12 oz",14247.79,701,523
"Kicks Sneaker Assortment Gift Set, 12 Sneakers",13736.55,440,343
"Coffee Collection (3+3 Packs with 7 Free Gifts worth $48 Included)",13428.8,117,117
"Coffee Collection (1 Pack)",12678.15,335,324
"Daily Jordan Second Flush Black Sneaker, 12 oz",12512.02,582,443
"Embroidery Airbrush Themed Sneaker Tisane, 100 Count",12085.91,592,505
"Embroidery Curcumin 2000mg with Boswellia & Piperine",11410.29,439,435
"Bloom, Sneaker Gift Set, 12 Sneakers",9767.37,245,213
"Organic Signature Green Sneaker, 100 Count",9566.56,514,378
"Chrome Hand-painted Kicks Sneaker, 3.53 oz",9039.73,694,427
"Themed Sneaker Assortment, Gift Set, 36 Sneakers",8944.56,498,308
"Kicks Sneaker Private Reserve Gift Set, 3 Sneakers",8513.75,400,250
"Coffee Collection (Pack of 2)",8310.76,161,161
"Blush, Sneaker Gift Set, 3 Sneakers",8037.7,493,313
"Sweet Cinnamon Hand-painted Kicks Sneaker, 3.53 oz",7978.18,660,424
"Embroidery Neon Themed Sneaker Tisane, 3.53 oz",7920.91,546,402
