"Product title","Quantity ordered","Net sales","Orders"
"Nike Air Force 1 x Itachi x Nagato",233,32331.22,224
"Nike Air Force 1 x Louis Vuitton Custom",211,31380.3,203
"Inosuke : Tanjiro Demon Slayer x Nike Air Force 1",197,33282.14,189
"Nike Air Force 1 x Dragon ball Z (Goku x Vegeta)",187,27576.63,180
"BMW Custom x Nike Air Force 1",186,28527.55,179
"Levi x Titan x Nike Air Force 1",185,30429.38,178
"Nike Air Force 1 x Drip",165,23772.96,158
"Scrooge McDuck x Nike Air Force 1",162,29478.46,156
"Nike Air Force 1 x Doggo",162,25674.79,156
"Glitch x Nike Air Force 1",153,21871.12,147
"Lamine Yamal x Nike Air Force 1",147,24723.87,141
"Coffee Black Studded Swoosh x Nike Air Force 1",127,20920.2,122
"Mercedes AMG F1 x Nike Air Force 1",126,19969.28,121
"Tiger Woods x Augusta x Nike Air Force 1",118,26625.71,113
"Shanks x Luffy x Nike Air Force 1",118,22822.04,113
"Bling x Nike Air Force 1",116,17116.53,111
"Nike Air Force 1 x Waffle Ice Cream",110,16165.61,106
"Luffy x Zoro x One piece x Nike Air Force 1",106,19018.36,102
"Red Camo x Nike Air Force 1",103,15214.69,99
"Luffy x Zoro x Nike Air Force 1",99,18067.45,95
