"Week","Orders","Total sales","Average order value"
"2026-02-02",56,7992.17,142.72
"2026-02-09",44,6402.19,145.5
"2026-02-16",55,8451.37,153.66
"2026-02-23",45,7425.61,165.01
"2026-03-02",55,9128.72,165.98
"2026-03-09",57,9595.12,168.34
"2026-03-16",42,6856.49,163.25
"2026-03-23",53,9054.48,170.84
"2026-03-30",52,7505.2,144.33
"2026-04-06",62,10210.68,164.69
"2026-04-13",64,9313.37,145.52
"2026-04-20",48,6869.77,143.12
"2026-04-27",59,9436.4,159.94
"2026-05-04",55,9052.37,164.59
"2026-05-11",39,6191.57,158.76
"2026-05-18",39,5860.79,150.28
"2026-05-25",56,8737.29,156.02
"2026-06-01",41,5887.38,143.59
"2026-06-08",56,8603.67,153.64
"2026-06-15",56,8697.25,155.31
"2026-06-22",49,8393.71,171.3
"2026-06-29",55,8030.46,146.01
"2026-07-06",58,9992.21,172.28
"2026-07-13",61,10472.04,171.67
"2026-07-20",42,7267.32,173.03
"2026-07-27",54,8040.02,148.89
