id,order_id,product_id,variant_id,sku,title,variant_title,product_type,vendor,quantity,price,total_discount,tax_lines,properties,requires_shipping,taxable,gift_card,variant_cost,fulfillment_status,fulfillment_service,grams
li6012246059,5000000,prod1195,var7242490615,nike-air-force-1-x-bmw-c,BMW Custom x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,153.26,3.2,[],[],True,True,False,3.9,fulfilled,manual,200
li7218325189,5000001,prod1246,var3517700971,nike-air-force-1-x-spide,Spiderman x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,157.17,3.2,[],[],True,True,False,3.9,fulfilled,manual,200
li4391278116,5000001,prod1398,var7468590559,nike-court-vision-x-shap,Nike Court Vision x Shapes,,Nike Court Vision,Knickgasm,1,114.65,1.9,[],[],True,True,False,4.5,fulfilled,manual,200
li1547861672,5000002,prod1203,var4201045829,nike-air-force-1-x-moo-s,Nike Air Force 1 x Moo Swoosh,,Nike Air force 1,Knickgasm,2,136.86,0.0,[],[],True,True,False,2.9,fulfilled,manual,200
li1435635421,5000002,prod1117,var1433123003,nike-air-force-1-x-paste,Pastel Pink Splash x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,137.93,0.0,[],[],True,True,False,4.1,fulfilled,manual,200
li4909405966,5000002,prod1091,var9301251045,nike-air-force-1-x-jager,Jägermeister x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,204.69,0.0,[],[],True,True,False,3.9,fulfilled,manual,200
li3735786531,5000003,prod1422,var6759585286,nike-court-vision-x-naru,Naruto x Sasuke x Nike Court Vision,,Nike Court Vision,Knickgasm,2,131.84,0.0,[],"[{""name"": ""frequency"", ""value"": ""monthly""}]",True,True,False,9.8,fulfilled,manual,200
li5145463770,5000003,prod1189,var6175562484,nike-air-jordan-lows-x-l,Luffy x Zoro x Nike Air Jordan 1 Lows,,Nike Air Jordan,Knickgasm,2,219.54,0.0,[],"[{""name"": ""frequency"", ""value"": ""monthly""}]",True,True,False,4.5,fulfilled,manual,200
li2246069247,5000003,prod1123,var5507464649,nike-air-force-1-x-red-b,Red & Black Gradient Splash x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,137.93,0.0,[],"[{""name"": ""frequency"", ""value"": ""monthly""}]",True,True,False,4.3,fulfilled,manual,200
li2661381697,5000004,prod1283,var3326053950,nike-air-force-1-x-misma,Nike Air Force 1 x Mismatched,,Nike Air force 1,Knickgasm,2,153.97,0.0,[],[],True,True,False,4.3,fulfilled,manual,200
li1512519298,5000004,prod1332,var9844857980,nike-air-force-1-x-jujut,Nike Air Force 1 x Jujutsu Kaisen,,Nike Air force 1,Knickgasm,2,147.54,0.0,[],"[{""name"": ""frequency"", ""value"": ""monthly""}]",True,True,False,9.8,fulfilled,manual,200
li7414673077,5000005,prod1050,var5149207737,nike-air-force-1-x-tooth,Toothless : How to train your dragon x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,148.13,0.0,[],[],True,True,False,9.8,fulfilled,manual,200
li1029414470,5000005,prod1182,var7212287202,nike-air-force-1-x-itach,Itachi x Sasuke x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,168.94,0.0,[],[],True,True,False,3.9,fulfilled,manual,200
li4675788083,5000005,prod1362,var5541884270,nike-court-vision-mid-x-,Nike Court Vision Mid x Mocha,,Nike Court Vision,Knickgasm,2,121.96,2.8,[],[],True,True,False,3.3,fulfilled,manual,200
li1021209729,5000006,prod1289,var4578515141,nike-air-force-1-x-drago,Nike Air Force 1 x Dragon Ball Z,,Nike Air force 1,Knickgasm,2,201.02,0.0,[],[],True,True,False,4.5,fulfilled,manual,200
