id,handle,title,body_html,vendor,product_type,tags,status,images,options,metafields,published_at,created_at,updated_at
p1001,original-hand-painted-kicks,Original Hand-painted Kicks,<p>Original Hand-painted Kicks — premium quality from India</p>,KNICKGASM,Green Sneaker,"sneaker,premium",active,[],[],[],2022-01-15 00:00:00,2022-01-15 00:00:00,2024-01-01 00:00:00
p1002,signature-green-sneaker,Signature Green Sneaker,<p>Signature Green Sneaker — premium quality from India</p>,KNICKGASM,Green Sneaker,"sneaker,premium",active,[],[],[],2022-01-15 00:00:00,2022-01-15 00:00:00,2024-01-01 00:00:00
p1003,embroidery-spice-themed,Embroidery Spice Themed,<p>Embroidery Spice Themed — premium quality from India</p>,KNICKGASM,Themed Sneaker,"sneaker,premium",active,[],[],[],2022-01-15 00:00:00,2022-01-15 00:00:00,2024-01-01 00:00:00
p1004,airforce-classic-black,Airforce Classic Black,<p>Airforce Classic Black — premium quality from India</p>,KNICKGASM,Black Sneaker,"sneaker,premium",active,[],[],[],2022-01-15 00:00:00,2022-01-15 00:00:00,2024-01-01 00:00:00
p1005,immunity-boost-colorway,Immunity Boost Colorway,<p>Immunity Boost Colorway — premium quality from India</p>,KNICKGASM,Streetwear Sneaker,"sneaker,premium",active,[],[],[],2022-01-15 00:00:00,2022-01-15 00:00:00,2024-01-01 00:00:00
p1006,earl-grey-supreme,Earl Grey Supreme,<p>Earl Grey Supreme — premium quality from India</p>,KNICKGASM,Black Sneaker,"sneaker,premium",active,[],[],[],2022-01-15 00:00:00,2022-01-15 00:00:00,2024-01-01 00:00:00
p1007,rose-green-sneaker,Rose Green Sneaker,<p>Rose Green Sneaker — premium quality from India</p>,KNICKGASM,Green Sneaker,"sneaker,premium",active,[],[],[],2022-01-15 00:00:00,2022-01-15 00:00:00,2024-01-01 00:00:00
p1008,sleep-well-colorway,Sleep Well Colorway,<p>Sleep Well Colorway — premium quality from India</p>,KNICKGASM,Themed Sneaker,"sneaker,premium",active,[],[],[],2022-01-15 00:00:00,2022-01-15 00:00:00,2024-01-01 00:00:00
p1009,gift-set-premium,Premium Gift Set,<p>Premium Gift Set — premium quality from India</p>,KNICKGASM,Gift Sets,"sneaker,premium",active,[],[],[],2022-01-15 00:00:00,2022-01-15 00:00:00,2024-01-01 00:00:00
p1010,neon-lemon-themed,Neon Lemon Themed,<p>Neon Lemon Themed — premium quality from India</p>,KNICKGASM,Themed Sneaker,"sneaker,premium",active,[],[],[],2022-01-15 00:00:00,2022-01-15 00:00:00,2024-01-01 00:00:00
